mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid,num,cost_grid
62127.815480457175,145.0332,9877.810415857915,55887.37559930171,2700.0874047938073,52.11026414155015,4.745614092272438,8859.0,0.616497,395.186,4000.0,180.9678,1.8498296657311584,id3,1.001,0.033433736246105315
62083.30476562472,169.2054,9795.464796261831,51012.79669905772,3191.2665125462267,52.066427564211395,4.744267738759468,10470.0,0.634297,404.1902,4000.0,182.3931,1.8360574256814848,id3,1.001,0.03276538363464433
62039.13465900826,193.3776,9587.217173814888,46029.8746864728,3682.4456202986303,52.02161880890316,4.74108101813276,12082.0,0.65274,413.452,4000.0,183.8643,1.8219606430416946,id3,1.001,0.03208707930493865
61995.312755691295,217.5498,9243.347123265703,40939.03448105871,4173.624728051011,51.97584170912961,4.7359177524300335,13693.0,0.67185,422.9776,4000.0,185.3364,1.8075614634718151,id3,1.001,0.031516095292068405
61951.84659791259,241.722,8757.791694446925,35740.80356311219,4664.803835803369,51.92910084418454,4.728695906059247,15304.0,0.691653,432.7734,4000.0,186.753,1.7928506903965833,id3,1.001,0.03093619859523451
61908.743679335676,265.8942,8129.558057337398,30435.26573621286,5155.982943555702,51.88139660363537,4.719407891958582,16916.0,0.712172,442.8453,4000.0,188.0098,1.7778172992914865,id3,1.001,0.030360875261397652
61866.01144929174,290.0664,7367.669911301218,25020.859441210243,5647.162051308003,51.83271433590275,4.708192148942243,18527.0,0.733436,453.1994,4000.0,189.0273,1.7624849221673298,id3,1.001,0.029439067864207757
61823.657316657744,314.2386,6489.571992763737,19493.811481731307,6138.341159060278,51.783019353648584,4.6953091567629555,20139.0,0.75547,463.8413,4000.0,189.5429,1.7468300345256054,id3,1.001,0.022497218009467534
61781.68865297996,338.4108,5539.864576632944,13844.556193708324,6629.520266812489,51.73222464129251,4.681412740111144,21750.0,0.778302,474.7766,4000.0,189.5792,1.7308772446887344,id3,1.001,0.0
61740.11044262182,362.583,4563.979453026391,8062.026146739748,7120.699374564503,51.680229935267604,4.667166103241137,23362.0,0.800059,484.8594,4000.0,189.5956,1.714093468726157,id3,1.001,0.0
61698.90338059539,386.7552,3565.578970562906,2156.3959520551834,7611.878482316559,51.627126576780896,4.652624713130163,24973.0,0.816334,491.4464,3782.0,189.6122,1.6653292406722862,id3,1.001,0.0
61658.74781797365,410.9274,2551.3098805709733,-3832.587205356065,8076.322628591917,51.573271873083314,4.63788699950181,26497.0,0.82,490.5215,3492.0,189.6305,1.601143598578104,id3,1.001,0.0
61620.047650992856,435.0996,1536.4071600590376,-9813.710308236668,8505.148130580093,51.519486050376905,4.623174979245906,27904.0,0.82,487.6119,3202.0,189.6441,1.534293193439867,id3,1.001,0.0
61582.89964111726,459.2718,525.513897389306,-15762.590712654863,8898.354988280726,51.46598835863493,4.608555620566697,29194.0,0.82,484.9286,2912.0,189.6588,1.466088588774321,id3,1.001,0.0
61547.333373527224,483.444,-481.8965959462087,-21681.839277403087,9255.943201693708,51.41275531766667,4.594022366207375,30367.0,0.818661,481.6876,2622.0,189.666,1.396379821118704,id3,1.001,0.0
61513.4062196824,507.6162,-1483.8593932131218,-27564.602200913992,9577.912770818984,51.359848593815684,4.579600043672842,31424.0,0.816234,478.0504,2332.0,189.6677,1.3253495125714618,id3,1.001,0.0
61481.170887724445,531.7884,-2478.9523542530637,-33405.96153697679,9864.263695656535,51.30731248255642,4.56530956271758,32363.0,0.813664,474.5775,2042.0,189.666,1.2533052159560032,id3,1.001,0.0
61450.65867763627,555.9606,-3467.1417183758213,-39207.8204518939,10114.99597620634,51.25512991172038,4.551150603600339,33186.0,0.81088,471.2305,1752.0,189.6587,1.1802142281338002,id3,1.001,0.0
61421.902637011364,580.1328,-4448.095496315384,-44971.64100451452,10330.109612468414,51.20328777817943,4.537127151350531,33891.0,0.80791,468.0265,1462.0,189.6523,1.1060942806628244,id3,1.001,0.0
61394.935485248076,604.305,-5422.181198845478,-50698.992008563924,10509.604604442748,51.15177201376838,4.523233168864611,34480.0,0.804696,464.9323,1172.0,189.6418,1.0308868937609075,id3,1.001,0.0
61369.79120891883,628.4772,-6389.218201604354,-56391.174123105106,10653.480952129374,51.10057096500802,4.5094705148298315,34952.0,0.801144,461.8946,882.0,189.6345,0.9545513316234792,id3,1.001,0.0
61346.505092241954,652.6494,-7349.647951420735,-62048.832492606314,10761.738655528325,51.04967886623249,4.495832147486729,35308.0,0.797238,458.9029,592.0,189.627,0.8770551264750707,id3,1.001,0.0
61325.11106001837,676.8216,-8303.561051412593,-67672.60189834509,10834.377714639659,50.99909004661845,4.48231608216344,35546.0,0.792799,455.8539,301.0,189.6218,0.7980830922145876,id3,1.001,0.0
