mass,ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuelflow,fid
72225.9290583684,683.7651,-43643.936285256146,-12641.907457025845,10120.935856432123,51.921144737666715,2.7553087344259004,33205.0,0.81519,473.6937,1740.0,252.5204,1.3031577584889824,EIN84T_1587
72165.58143201738,729.3495,-54201.17355298479,-15966.467989585593,10523.908024176293,51.89031673485854,2.601901305872845,34527.0,0.809015,467.3286,1193.0,252.52,1.1545515415403826,EIN84T_1587
72111.98391074756,774.9338,-64630.206417461886,-19250.732899879607,10800.209420709632,51.85966685066135,2.4505639897837974,35434.0,0.802306,461.5555,646.0,252.5407,0.9976558023744517,EIN84T_1587
72065.6042542556,820.5182,-74946.9258526866,-22495.530732389667,10949.840046051608,51.82919312976197,2.3010589459524393,35925.0,0.794754,456.1896,99.0,252.5759,0.8324371581576815,EIN84T_1587
72026.89663200894,866.1025,-85160.11229351387,-25700.876307637733,10972.799900293885,51.79890074390575,2.153252293927107,36000.0,0.793272,455.1822,-0.0,252.5893,0.8012070618721638,EIN84T_1587
71989.64332934843,911.6868,-95353.99545624053,-28897.54428755745,10972.799900053764,51.768504646792294,2.0059227797904,36000.0,0.791789,454.3316,-99.0,252.6027,0.770160573749713,EIN84T_1587
77999.99990000618,0.0,91659.49217075657,31259.337986327166,30.48000030388123,52.32860183627624,4.708839891842632,100.0,0.3,198.3755,2432.0,252.8201,2.0139847131633464,EIN84X_1515
77909.63000538338,44.7961,87337.31217201929,29923.06348083255,583.9704359183528,52.31729222697684,4.644897714928353,1916.0,0.392565,257.9575,2970.0,251.9051,1.9722188068573747,EIN84X_1515
77821.25708146462,89.5923,81744.83924644244,28095.711079097793,1259.789016032366,52.301723225727855,4.562187448353989,4133.0,0.491703,320.5967,3000.0,251.8345,1.8953554785848743,EIN84X_1515
77736.55322800788,134.3884,74782.66763346927,25811.314896170017,1942.4823318172657,52.28217508932237,4.459299219421822,6373.0,0.590249,381.7877,3000.0,251.8485,1.8670441004838831,EIN84X_1515
77653.36408273267,179.1846,66481.07844761391,23089.67536616792,2625.175647602188,52.25876958792787,4.336736169101782,8613.0,0.613838,393.8349,3000.0,251.822,1.8493757389992347,EIN84X_1515
77570.98870378156,223.9807,57917.84795702529,20277.877193732136,3307.868963386978,52.234454212781486,4.210445382893056,10853.0,0.638616,406.3654,3000.0,251.7564,1.8311902096666042,EIN84X_1515
77489.45008026989,268.7769,49084.58377564136,17366.197872733726,3990.5622791716123,52.209130193916245,4.080315792285035,13092.0,0.664648,419.3962,3000.0,251.7752,1.812503856782037,EIN84X_1515
77408.77075506857,313.573,39966.247019550596,14363.858853661473,4673.255594956053,52.182868715478946,3.9461429240186052,15332.0,0.691999,432.9443,3000.0,251.7164,1.7933033691416986,EIN84X_1515
77328.97283156434,358.3692,30555.77764331535,11254.639021752886,5355.948910740255,52.15551034765675,3.8078370126921786,17572.0,0.720738,447.0262,3000.0,251.7706,1.7736036389763876,EIN84X_1515
77250.07797570767,403.1653,20835.522864819883,8053.248918537258,6038.642226524146,52.127173345809844,3.66515771063373,19812.0,0.750934,461.6577,3000.0,251.7632,1.7534097398641948,EIN84X_1515
77172.10740413942,447.9615,10796.958072843088,4745.586883328504,6721.335542307623,52.09771499774034,3.5179969649329474,22052.0,0.78266,476.8537,3000.0,251.7533,1.732726648093843,EIN84X_1515
77095.04819572052,492.7576,428.0540352070068,1327.103432052839,7404.028858089588,52.0670774060835,3.366198150169793,24291.0,0.812244,490.3665,3000.0,251.7707,1.710806185328769,EIN84X_1515
77018.60673478173,537.5538,-10235.960079928938,-2185.0855708680006,8086.722173872194,52.03539677139851,3.210296783734763,26531.0,0.82,490.4511,3000.0,251.7737,1.6851386893110296,EIN84X_1515
76942.9174892842,582.3499,-20901.063540955936,-5697.014463462377,8769.41548962139,52.00351299177961,3.054601024143092,28771.0,0.82,485.8101,2462.0,251.7591,1.5593068466458835,EIN84X_1515
76872.5003937521,627.1461,-31478.675146173184,-9183.12943604183,9329.780660873246,51.97166139827073,2.9004024327068847,30610.0,0.819082,481.4276,1925.0,251.6745,1.4233537651064665,EIN84X_1515
76807.84227845159,671.9422,-41969.33092197075,-12657.75569008306,9767.817687625859,51.93971864011887,2.747690610217913,32047.0,0.812789,474.7298,1387.0,251.6877,1.2769935522913267,EIN84X_1515
76749.69538800976,716.7384,-52327.41488400994,-16085.827004024562,10083.526569878904,51.90800979014756,2.5971220805990427,33082.0,0.80607,468.6504,850.0,251.6047,1.1212879613251305,EIN84X_1515
76698.5711408361,761.5345,-62559.53098651655,-19488.65990756301,10276.907307632746,51.87635028139366,2.4485968758315666,33717.0,0.79864,463.0177,312.0,251.6321,0.9557642899304025,EIN84X_1515
76654.97359682784,806.3307,-72680.71002094228,-22849.225072966285,10347.95990088927,51.84489866963443,2.3018870652614347,33950.0,0.793943,459.8145,-0.0,251.5553,0.8550127108204908,EIN84X_1515
76615.9796280855,851.1268,-82732.86073472338,-26201.846430696834,10347.95990044534,51.81334654374966,2.156384795620571,33950.0,0.794019,459.8585,-0.0,251.598,0.8547251858996213,EIN84X_1515
76576.99741503845,895.923,-92788.46840894537,-29547.295437857174,10347.959900001346,51.78167905236863,2.0110345176060007,33950.0,0.794095,459.9025,-0.0,251.6407,0.8544380458882266,EIN84X_1515
77999.99990000785,0.0,-74454.49527436895,-1701.2830003678703,30.48000030385213,52.32129695485788,4.77996037776167,100.0,0.3,198.3755,2122.0,87.3902,1.9495392351846683,EJU42KM_1219
77931.77098342263,34.9473,-70919.05234260274,-1540.1322706696533,407.1750248592607,52.32321587351152,4.831938609628134,1336.0,0.387512,255.1509,2541.0,88.2915,1.8948874327647358,EJU42KM_1219
77865.53896997907,69.8945,-66367.74954911333,-1404.379298768435,858.3211791599117,52.32500782030044,4.898872882914633,2816.0,0.481945,315.6949,2961.0,88.2933,1.8983556232333594,EJU42KM_1219
77799.32324190321,104.8418,-60736.00009101663,-1236.575527751679,1383.9184632054637,52.32717121624936,4.98170431884082,4540.0,0.571792,372.2782,3000.0,88.2904,1.8810653443673035,EJU42KM_1219
77733.84808371829,139.789,-54087.94071620842,-1038.149090692304,1916.5147112913926,52.3296535297046,5.07949379538878,6288.0,0.589375,381.3387,3000.0,88.2888,1.8676559657803247,EJU42KM_1219
77668.85210227892,174.7363,-47277.3421695502,-834.6799743112273,2449.110959377209,52.33211452910384,5.179685304113297,8035.0,0.607643,390.6824,3000.0,88.2866,1.8539359664517026,EJU42KM_1219
77604.34644491562,209.6836,-40299.16276109139,-625.9359508124223,2981.707207462894,52.33455059017535,5.282353443920222,9783.0,0.626626,400.3175,3000.0,88.2841,1.8398912452425038,EJU42KM_1219
77540.34210184935,244.6308,-33148.21395862074,-411.71684883742205,3514.303455548427,52.336957399339155,5.38757498029507,11530.0,0.646353,410.2521,3000.0,88.2799,1.8255431340397699,EJU42KM_1219
77476.84990941882,279.5781,-25819.16778778553,-191.62809400576091,4046.899703633775,52.339331964251606,5.495428711789061,13277.0,0.666855,420.4944,3000.0,88.2787,1.810885725548064,EJU42KM_1219
77413.88055351723,314.5253,-18306.534743134696,34.137418742971825,4579.495951718895,52.341665556776555,5.605995855551992,15025.0,0.688163,431.0524,3000.0,88.2758,1.7959115867068565,EJU42KM_1219
77351.44457262981,349.4726,-10604.701204600322,265.97176316115014,5112.092199803747,52.343954226918896,5.719359387839385,16772.0,0.710309,441.9339,3000.0,88.2741,1.780643383518728,EJU42KM_1219
77289.55235974699,384.4199,-2707.904507974951,503.9173777947693,5644.688447888244,52.34619037018459,5.835604480521177,18519.0,0.733327,453.1465,3000.0,88.2728,1.765073654438542,EJU42KM_1219
77228.21416230404,419.3671,5389.749936047432,748.0986961917143,6177.284695972276,52.34836645012251,5.954818231158151,20267.0,0.757251,464.6976,3000.0,88.2724,1.749193659246565,EJU42KM_1219
77167.4399562159,454.3144,13694.287836406129,998.5756795512871,6709.880944055671,52.350473966277356,6.077089555821721,22014.0,0.782115,476.594,3000.0,88.2716,1.7330276600463235,EJU42KM_1219
77107.21654175104,489.2616,22211.852028425823,1255.5960433094517,7242.4771921354595,52.352505508692,6.202509110088574,23761.0,0.805307,487.2405,3000.0,88.2725,1.716021357788875,EJU42KM_1219
77047.42130673799,524.2089,30919.973994792737,1518.223536615951,7775.073440217215,52.354443945850555,6.330746103012802,25509.0,0.82,492.5552,2947.0,88.2731,1.6880707119781737,EJU42KM_1219
76988.25798740801,559.1562,39724.09113818459,1783.667212153243,8298.344992363096,52.356261928373705,6.460407747910409,27226.0,0.82,489.0172,2528.0,88.2748,1.5903517447117916,EJU42KM_1219
76932.3268083428,594.1034,48472.97027208534,2047.180981195485,8747.16541476858,52.35792555113338,6.589265999823426,28698.0,0.82,485.9621,2109.0,88.2739,1.4862111506651916,EJU42KM_1219
76879.84125809449,629.0507,57174.79339912414,2309.4052784812147,9121.534707431549,52.35944235273588,6.717440427303673,29926.0,0.818465,482.4942,1689.0,88.2761,1.3756262812391935,EJU42KM_1219
76831.07435220543,663.9979,65821.66494348824,2569.653785938504,9421.45287035205,52.36080934508322,6.844813696047667,30910.0,0.813495,477.5176,1270.0,88.2748,1.2588101583951647,EJU42KM_1219
76786.3985872101,698.9452,74385.94575158313,2827.6086225683616,9646.919903532314,52.36203002906058,6.970977781724633,31650.0,0.808526,473.0652,851.0,88.2735,1.1364356803354592,EJU42KM_1219
73621.30297723717,0.0,-74827.80160415,-1385.1380549067983,30.48000030382096,52.32129693679499,4.779960353961934,100.0,0.3,198.3755,2161.0,87.6323,1.9063042463447348,EJU5284_1390
73554.53136074432,34.9781,-71289.45527491848,-1238.834201855136,414.38113533761623,52.32308512845967,4.8319842313917345,1360.0,0.401594,264.4013,2580.0,88.5164,1.8375198807369968,EJU5284_1390
73490.28814535671,69.9562,-66567.76297947043,-1116.5425332877485,872.8649016419173,52.32477985758244,4.901427724834348,2864.0,0.511619,335.077,3000.0,88.5231,1.8556452504246963,EJU5284_1390
73425.59059466697,104.9343,-60582.309786358885,-962.2181960313964,1405.9312992118587,52.32686337592442,4.98946543360397,4613.0,0.572506,372.6472,3000.0,88.517,1.843964485359225,EJU5284_1390
73361.39323989008,139.9124,-53921.040279898865,-789.7594282042955,1938.9976967823948,52.329111585178644,5.087452933094141,6362.0,0.590132,381.7274,3000.0,88.5216,1.8300021599542846,EJU5284_1390
73297.6955429064,174.8905,-47096.698952198814,-613.6365017598414,2472.064094352806,52.331325748758765,5.187849442814734,8110.0,0.608446,391.0916,3000.0,88.5188,1.8157548782709856,EJU5284_1390
73234.50779469454,209.8687,-40104.24448887638,-432.8322216770807,3005.1304919230715,52.33350926842198,5.290729335122485,9859.0,0.627477,400.7481,3000.0,88.5224,1.8012055299545162,EJU5284_1390
73171.84016231805,244.8468,-32938.44628979123,-247.99005367904806,3538.196889493164,52.33565021231869,5.396169995170636,11608.0,0.647256,410.705,3000.0,88.5199,1.786365810063574,EJU5284_1390
